% 1. Title: Iris Plants Database, altered with many extra attributes by John MacCormick
% 

% 
% 5. Number of Instances: 150 (50 in each of three classes)
% 
% 6. Number of Attributes: 5 numeric, predictive attributes and the class
% 
% 7. Attribute Information:
%    1. sepal length in cm
%    2. sepal width in cm
%    3. petal length in cm
%    4. petal width in cm
%    5-13. mystery attributes
%    14. class: 
%       -- Iris Setosa
%       -- Iris Versicolour
%       -- Iris Virginica
% 
% 8. Missing Attribute Values: None
% 
% Summary Statistics:
%  	           Min  Max   Mean    SD   Class Correlation
%    sepal length: 4.3  7.9   5.84  0.83    0.7826   
%     sepal width: 2.0  4.4   3.05  0.43   -0.4194
%    petal length: 1.0  6.9   3.76  1.76    0.9490  (high!)
%     petal width: 0.1  2.5   1.20  0.76    0.9565  (high!)
% 
% 9. Class Distribution: 33.3% for each of 3 classes.

@RELATION iris

@ATTRIBUTE sepallength	REAL
@ATTRIBUTE sepalwidth 	REAL
@ATTRIBUTE petallength 	REAL
@ATTRIBUTE petalwidth	REAL
@ATTRIBUTE mystery1	REAL
@ATTRIBUTE mystery2	REAL
@ATTRIBUTE mystery3	REAL
@ATTRIBUTE mystery4	REAL
@ATTRIBUTE mystery5	REAL
@ATTRIBUTE mystery6	REAL
@ATTRIBUTE mystery7	REAL
@ATTRIBUTE mystery8	REAL
@ATTRIBUTE mystery9	REAL
@ATTRIBUTE class 	{Iris-setosa,Iris-versicolor,Iris-virginica}

@DATA
7.1,3,5.9,2.1,7.14,2.99,5.87,2.13,7.18,3.01,5.86,2.11,7.23,Iris-virginica
6.3,2.9,5.6,1.8,6.34,2.93,5.61,1.78,6.35,2.90,5.64,1.80,6.36,Iris-virginica
6.5,3,5.8,2.2,6.47,3.02,5.81,2.19,6.46,2.98,5.80,2.15,6.45,Iris-virginica
7.6,3,6.6,2.1,7.60,3.02,6.59,2.08,7.60,2.97,6.61,2.12,7.60,Iris-virginica
4.9,2.5,4.5,1.7,4.95,2.46,4.50,1.65,4.92,2.44,4.48,1.67,4.91,Iris-virginica
7.3,2.9,6.3,1.8,7.32,2.86,6.29,1.85,7.33,2.90,6.26,1.85,7.37,Iris-virginica
6.7,2.5,5.8,1.8,6.65,2.47,5.80,1.84,6.66,2.43,5.80,1.84,6.69,Iris-virginica
7.2,3.6,6.1,2.5,7.24,3.59,6.11,2.46,7.28,3.63,6.12,2.49,7.33,Iris-virginica
6.5,3.2,5.1,2,6.52,3.23,5.08,1.96,6.52,3.26,5.07,1.98,6.55,Iris-virginica
6.4,2.7,5.3,1.9,6.37,2.72,5.26,1.91,6.40,2.68,5.22,1.92,6.37,Iris-virginica
6.8,3,5.5,2.1,6.75,2.98,5.48,2.14,6.80,3.00,5.53,2.16,6.82,Iris-virginica
5.7,2.5,5,2,5.65,2.48,4.97,2.02,5.69,2.48,4.95,2.06,5.66,Iris-virginica
5.8,2.8,5.1,2.4,5.77,2.83,5.11,2.41,5.73,2.85,5.11,2.36,5.70,Iris-virginica
6.4,3.2,5.3,2.3,6.41,3.21,5.28,2.28,6.45,3.25,5.28,2.26,6.42,Iris-virginica
6.5,3,5.5,1.8,6.46,3.01,5.50,1.77,6.41,3.01,5.50,1.76,6.45,Iris-virginica
7.7,3.8,6.7,2.2,7.68,3.82,6.73,2.18,7.72,3.77,6.70,2.18,7.71,Iris-virginica
7.7,2.6,6.9,2.3,7.66,2.60,6.93,2.31,7.65,2.56,6.93,2.34,7.60,Iris-virginica
6,2.2,5,1.5,6.01,2.20,5.04,1.50,6.06,2.22,4.99,1.52,6.04,Iris-virginica
6.9,3.2,5.7,2.3,6.94,3.22,5.67,2.35,6.92,3.22,5.63,2.31,6.96,Iris-virginica
5.6,2.8,4.9,2,5.60,2.81,4.87,2.03,5.58,2.81,4.92,2.01,5.57,Iris-virginica
7.7,2.8,6.7,2,7.69,2.83,6.70,1.98,7.69,2.84,6.75,1.94,7.69,Iris-virginica
6.3,2.7,4.9,1.8,6.30,2.70,4.92,1.81,6.27,2.70,4.94,1.78,6.22,Iris-virginica
6.7,3.3,5.7,2.1,6.70,3.27,5.69,2.09,6.66,3.30,5.66,2.10,6.64,Iris-virginica
7.2,3.2,6,1.8,7.25,3.21,6.02,1.77,7.22,3.23,6.06,1.77,7.24,Iris-virginica
6.2,2.8,4.8,1.8,6.21,2.82,4.76,1.81,6.24,2.82,4.72,1.82,6.22,Iris-virginica
6.1,3,4.9,1.8,6.05,2.98,4.95,1.78,6.10,2.97,4.96,1.76,6.11,Iris-virginica
6.4,2.8,5.6,2.1,6.39,2.77,5.58,2.06,6.43,2.74,5.54,2.07,6.44,Iris-virginica
7.2,3,5.8,1.6,7.18,2.99,5.76,1.58,7.21,2.97,5.76,1.54,7.19,Iris-virginica
7.4,2.8,6.1,1.9,7.42,2.76,6.09,1.88,7.38,2.74,6.09,1.93,7.41,Iris-virginica
7.9,3.8,6.4,2,7.87,3.79,6.44,2.05,7.83,3.79,6.42,2.09,7.82,Iris-virginica
6.4,2.8,5.6,2.2,6.41,2.79,5.58,2.16,6.46,2.81,5.58,2.17,6.47,Iris-virginica
6.3,2.8,5.1,1.5,6.35,2.79,5.14,1.45,6.31,2.74,5.16,1.47,6.35,Iris-virginica
6.1,2.6,5.6,1.4,6.06,2.64,5.60,1.38,6.05,2.59,5.58,1.42,6.05,Iris-virginica
7.7,3,6.1,2.3,7.73,3.05,6.06,2.33,7.76,3.06,6.02,2.32,7.73,Iris-virginica
6.3,3.4,5.6,2.4,6.32,3.42,5.58,2.41,6.33,3.37,5.56,2.42,6.31,Iris-virginica
6.4,3.1,5.5,1.8,6.41,3.15,5.48,1.83,6.37,3.13,5.48,1.83,6.33,Iris-virginica
6,3,4.8,1.8,6.03,2.99,4.76,1.82,6.04,2.98,4.79,1.81,6.05,Iris-virginica
6.9,3.1,5.4,2.1,6.90,3.11,5.44,2.11,6.92,3.07,5.39,2.08,6.92,Iris-virginica
6.7,3.1,5.6,2.4,6.73,3.13,5.63,2.38,6.69,3.11,5.63,2.41,6.71,Iris-virginica
6.9,3.1,5.1,2.3,6.86,3.08,5.10,2.33,6.85,3.06,5.08,2.36,6.82,Iris-virginica
5.8,2.7,5.1,1.9,5.76,2.66,5.14,1.93,5.78,2.66,5.17,1.94,5.81,Iris-virginica
6.8,3.2,5.9,2.3,6.85,3.21,5.89,2.31,6.82,3.22,5.92,2.35,6.83,Iris-virginica
6.7,3.3,5.7,2.5,6.75,3.28,5.70,2.49,6.71,3.25,5.71,2.48,6.71,Iris-virginica
6.7,3,5.2,2.3,6.66,3.02,5.20,2.27,6.68,2.98,5.21,2.29,6.64,Iris-virginica
6.3,2.5,5,1.9,6.33,2.48,4.96,1.90,6.30,2.49,4.99,1.89,6.25,Iris-virginica
6.5,3,5.2,2,6.53,3.00,5.20,1.96,6.49,2.97,5.17,1.99,6.48,Iris-virginica
6.2,3.4,5.4,2.3,6.20,3.35,5.37,2.28,6.23,3.35,5.36,2.28,6.20,Iris-virginica
5.9,3,5.1,1.8,5.92,2.99,5.08,1.78,5.89,3.02,5.04,1.82,5.86,Iris-virginica
